party,region,name,twitter,uri
National Liberal Party – True Liberalism,London,Graham Williamson,
National Liberal Party – True Liberalism,London,Jagdeesh Singh,
National Liberal Party – True Liberalism,London,Sockalingam Yogalingam,
National Liberal Party – True Liberalism,London,Doris Jones,
National Liberal Party – True Liberalism,London,Upkar Rai,
National Liberal Party – True Liberalism,London,Yussef Anwar,
National Liberal Party – True Liberalism,London,Araz Yurdseven,
National Liberal Party – True Liberalism,London,Bernard Dube,
Alliance Party of Northern Ireland,Northern Ireland,Anna Lo,Anna4Europe
Socialist Equality Party (UK),North West England,Chris Marsden,
Socialist Equality Party (UK),North West England,Julie Hyland,
Socialist Equality Party (UK),North West England,Robert Skelton,
Socialist Equality Party (UK),North West England,Lucy Warren,
Socialist Equality Party (UK),North West England,Mark Dowson,
Socialist Equality Party (UK),North West England,Ajitha Gunaratne,
Socialist Equality Party (UK),North West England,Danny Dickinson,dannyd219
Socialist Equality Party (UK),North West England,Joe Heffer,
An Independence From Europe,South West England,David Smith,
An Independence From Europe,South West England,Helen Webster,
An Independence From Europe,South West England,Mike Camp,
An Independence From Europe,South West England,Andrew Edwards,
An Independence From Europe,South West England,Phil Dunn,
An Independence From Europe,South West England,John Taverner,
An Independence From Europe,Yorkshire and the Humber,Christopher Booth,
An Independence From Europe,Yorkshire and the Humber,Kerrie Oxenham,
An Independence From Europe,Yorkshire and the Humber,Malcolm Snelling,
An Independence From Europe,Yorkshire and the Humber,John Martin,
An Independence From Europe,Yorkshire and the Humber,Paul Sootheran,
An Independence From Europe,Yorkshire and the Humber,Howard Blake,
An Independence From Europe,East of England,Paul Wiffen,
An Independence From Europe,East of England,Karl Davies,
An Independence From Europe,East of England,Raymond Spalding,
An Independence From Europe,East of England,Edmond Rosenthal,
An Independence From Europe,East of England,Rupert Smith,
An Independence From Europe,East of England,Dennis Wiffen,
An Independence From Europe,East of England,Betty Wiffen,
An Independence From Europe,West Midlands,Mike Nattrass,,http://dbpedia.org/resource/Mike_Nattrass
An Independence From Europe,West Midlands,Mark nattrass,
An Independence From Europe,West Midlands,Joshna Pattni,
An Independence From Europe,West Midlands,Carl Humphries,
An Independence From Europe,West Midlands,George Forrest,
An Independence From Europe,West Midlands,Douglas Ingram,
An Independence From Europe,West Midlands,Paul Alders,
An Independence From Europe,East Midlands,Chris Pain,
An Independence From Europe,East Midlands,Val Pain,
An Independence From Europe,East Midlands,Alan Jesson,
An Independence From Europe,East Midlands,John Beaver,
An Independence From Europe,East Midlands,Carl Mason,
An Independence From Europe,North West England,Helen Bashford,
An Independence From Europe,North West England,Gill Kearney,
An Independence From Europe,North West England,Pauline Penny,
An Independence From Europe,North West England,Kay Bashford,
An Independence From Europe,North West England,Faye Raw,
An Independence From Europe,North West England,Lorna Markovitch,
An Independence From Europe,North West England,Jennie Ransome,
An Independence From Europe,North West England,Jill Stockdale,
An Independence From Europe,London,Patrick Burns,
An Independence From Europe,London,Marlene Daniel,
An Independence From Europe,London,Gareth Griffiths,
An Independence From Europe,London,Munpreet Bhathal,
An Independence From Europe,London,Sharon Greenfield,
An Independence From Europe,London,Eddie Yeoman,
An Independence From Europe,London,Fred Atkins,
An Independence From Europe,London,Jean Atkins,
An Independence From Europe,North East England,Sherri Forbes,
An Independence From Europe,North East England,Nawal Hizan,
An Independence From Europe,North East England,Mary Forbes,
An Independence From Europe,South East England,Laurence Stassen,,http://dbpedia.org/resource/Laurence_Stassen
An Independence From Europe,South East England,Joyce Nattrass,
An Independence From Europe,South East England,Paul Godfrey,
An Independence From Europe,South East England,Alan Sheath,
An Independence From Europe,South East England,Ken Holtom,
An Independence From Europe,South East England,Mark Henry,
An Independence From Europe,South East England,Keith Vernon,
An Independence From Europe,South East England,Michaelina Argy,
An Independence From Europe,South East England,Seana Connolly,
An Independence From Europe,South East England,Dorothy Sheath,
Pirate Party UK,North West England,Maria Aretoulaki,PiratePUKMaria
Pirate Party UK,North West England,George Walkden,gwalkden
Pirate Party UK,North West England,Jack Allnutt,allnutt_eu
Socialist Labour,Wales,Andrew Jordan,AndrewJordanSLP
Socialist Labour,Wales,Katherine Jones,
Socialist Labour,Wales,David Lloyd Jones,
Socialist Labour,Wales,Liz Screen,
Sinn Féin,Northern Ireland,Martina Anderson,MEPStandingUp4U,http://dbpedia.org/resource/Martina_Anderson
National Health Action Party,London,Dr Louise Irvine,drmarielouise
National Health Action Party,London,Dr Chidi Ejimofo,Nytspider
National Health Action Party,London,Marcus Chown,
National Health Action Party,London,Kathryn Anderson,
National Health Action Party,London,Rufus Hound,RufusHound,http://dbpedia.org/resource/Rufus_Hound
National Health Action Party,London,Jessica Ormerod,
National Health Action Party,London,Andrew Sharp,Andrewsharp1
National Health Action Party,London,Alex Ashman,
Green Party of Northern Ireland,Northern Ireland,Ross Brown,voterossbrown
Europeans Party,London,Tommy Tomescu,
Europeans Party,London,Andrzej Rygielski,
Europeans Party,London,Vanessa Rodriguez,
Europeans Party,London,Robin Ashenden,
Europeans Party,London,Emil Rusanov,
Europeans Party,London,Georgios Papagrigorakis,
NI21,Northern Ireland,Tina McKenzie,Tina4Europe
Social Democratic and Labour Party,Northern Ireland,Alex Attwood,AlexForEurope,http://dbpedia.org/resource/Alex_Attwood
No2EU,North West England,Roger Bannister,
No2EU,North West England,George Waterhouse,
No2EU,North West England,Jacqueline Grunsell,
No2EU,North West England,John Metcalfe,
No2EU,North West England,George Tapp,
No2EU,North West England,Mark Rowe,
No2EU,North West England,James Healy,
No2EU,North West England,Kevin Morrison,
No2EU,Yorkshire and the Humber,Trevor Howard,
No2EU,Yorkshire and the Humber,Mary Jackson,
No2EU,Yorkshire and the Humber,Carrie Hedderwick,
No2EU,Yorkshire and the Humber,Adrian O'Malley,
No2EU,Yorkshire and the Humber,Steven Andrew,
No2EU,Yorkshire and the Humber,Iain Dalton,
No2EU,Wales,Robert Griffiths,
No2EU,Wales,Claire Job,
No2EU,Wales,Steven Skelly,
No2EU,Wales,Laura Picand,
No2EU,East of England,Brian Denny,
No2EU,East of England,Eleanor Donne,
No2EU,East of England,Stephen Glennon,
No2EU,East of England,David Goode,
No2EU,East of England,Leonardo Impett,
No2EU,East of England,Teresa Mackay,
No2EU,East of England,Emily Thompson-Golding,
No2EU,London,Edward Dempsey,
No2EU,London,Alexander Gordon,
No2EU,London,April Ashley,
No2EU,London,Annie Ngemi,
No2EU,London,Mary Davis,
No2EU,London,Paula Mitchell,
No2EU,London,Natasha Hoarau,
No2EU,London,Michael Carty,
No2EU,West Midlands,Dave Nellist,davenellist,http://dbpedia.org/resource/Dave_Nellist
No2EU,West Midlands,Pat Collins,
No2EU,West Midlands,Joanne Stevenson,
No2EU,West Midlands,Sophia Hussain,
No2EU,West Midlands,Paul Reilly,
No2EU,West Midlands,Andrew Chaffer,
No2EU,West Midlands,Amanda Marfleet,
No2EU,Scotland,John Foster,
No2EU,Scotland,Andrew Elliott,
No2EU,Scotland,Murdo Maclean,
No2EU,Scotland,Gail Morrow,
No2EU,Scotland,Brian Smith,
No2EU,Scotland,Richard Veitch,
Communities United Party,London,Kamran Malik,
Communities United Party,London,Humera Kamran,
Communities United Party,London,Cydatty Bogie,
Communities United Party,London,Mary Coleman-Daniels,
Communities United Party,London,Idris Ali,
Communities United Party,London,Reuben Edokpayi,
Communities United Party,London,Sunita Singh,
Communities United Party,London,Joanne Flanders,
British National Party,North East England,Martin Vaughan,
British National Party,North East England,Lady Dorothy Brooke,
British National Party,North East England,Peter Foreman,
British National Party,Yorkshire and the Humber,Marlene Guest,
British National Party,Yorkshire and the Humber,Adam Walker,
British National Party,Yorkshire and the Humber,Danny Cooke,
British National Party,Yorkshire and the Humber,Joanne Brown,
British National Party,Yorkshire and the Humber,Steven Harrison,
British National Party,Yorkshire and the Humber,Stuart Henshaw,
British National Party,West Midlands,Michael Coleman,
British National Party,West Midlands,Jennifer Matthys,
British National Party,West Midlands,Kenneth Griffiths,
British National Party,West Midlands,Simon Patten,
British National Party,West Midlands,David Bradnock,
British National Party,West Midlands,Mark Badrick,
British National Party,West Midlands,Phil Kimberley,
British National Party,North West England,Nick Griffin,nickgriffinmep,http://dbpedia.org/resource/Nick_Griffin
British National Party,North West England,Dawn Charlton,
British National Party,North West England,Clive Jefferson,
British National Party,North West England,Eddy O'Sullivan,
British National Party,North West England,Simon Darby,,http://dbpedia.org/resource/Simon_Darby
